"shapeid","x","y"
"0","693020.514059","6094249.56128"
"0","692979.454517","6094250.43992"
"0","692939.621496","6094217.21333"
"0","692909.856213","6094197.40282"
"0","692870.980474","6094163.18201"
"0","692817.129353","6094160.43879"
"0","692773.719815","6094142.86704"
"0","692727.606554","6094090.30097"
