"shapeid","x","y"
"0","692702.977726","6094093.63215"
"0","692723.686434","6094080.58566"
"0","692690.966675","6094019.90915"
"0","692671.707577","6093966.48068"
"0","692661.767397","6093918.02231"
"0","692641.058689","6093928.79083"
"0","692650.791782","6093992.78074"
"0","692673.157187","6094051.1793"
"0","692702.977726","6094093.63215"
