"shapeid","x","y"
"0","693263.293308","6094452.30357"
"0","693235.7337","6094430.72195"
"0","693220.410944","6094425.87674"
"0","693192.377652","6094399.50129"
"0","693173.620059","6094372.92719"
"0","693154.004132","6094392.93249"
"0","693178.192566","6094413.1083"
"0","693202.136675","6094439.20189"
"0","693215.273714","6094463.3098"
"0","693232.128995","6094487.70764"
"0","693263.293308","6094452.30357"
