693186.443,6094361.531
693194.866,6094355.003
693189.602,6094346.581
693194.866,6094342.370
693187.707,6094332.474
693192.128,6094328.684
693183.917,6094317.946
693188.970,6094312.682
693183.706,6094305.312
693180.969,6094307.628
693178.232,6094303.628
693180.758,6094301.943
693175.916,6094296.469
693174.021,6094298.575
693172.547,6094296.048
693168.125,6094298.785
693162.861,6094290.784
693160.966,6094292.047
693159.071,6094289.731
693155.492,6094292.679
693150.017,6094285.310
693148.333,6094286.573
693146.648,6094284.888
693138.226,6094290.995
693131.909,6094289.521
693129.383,6094291.837
693128.541,6094295.627
693132.752,6094301.312
693137.173,6094301.943
693141.806,6094298.153
693147.069,6094305.733
693151.912,6094305.944
693154.228,6094304.260
693160.124,6094313.524
693167.072,6094313.735
693169.809,6094317.314
693167.283,6094318.998
693167.072,6094324.473
693170.862,6094329.316
693171.915,6094331.421
693167.704,6094335.211
693174.652,6094344.476
693171.704,6094347.423
693173.389,6094352.687
693176.968,6094356.056
693179.850,6094356.430
